#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_01-00,,,,,,,,,,,
,0,1001,,,,,,,,0,0,4,我,“所以呢，怎么回来了？”,0
,0,1002,,,,,,,,,,4,？？？,“啊？你是不是有点过懵了？”,0
,0,1003,,,,,,,,,,,我,“嗯？最近有什么事吗？”,0
,0,1004,,,,,,,,,,,？？？,“潮汐节啊，就镇上的，三年一次的，祭典。大家都会出摊营业的那个。”,0
,0,1005,,,,,,,,,,,我,“啊，好像是有这么个事来着，学姐之前还跟我说了来着。”,0
,0,1006,,,,,,,,,,,我,“完全忘记了，诶嘿~”,0
,0,1007,,,,,,,,,,,？？？,“······”,0
,0,1008,,,,,,,,,,,？？？,“你怎么比我对这件事还不上心。”,0
,0,1009,,,,,,,,,,,？？？,“对了，露姐他们还好吗？”,0
,0,1010,,,,,,,,,,,我,“挺好的，最近她当上老板娘了，店里还上了不少镇上没有的东西。”,0
,0,1011,,,,,,,,,,,我,“有个学妹在帮她做宣传，生意应该会变得比原来更好吧。”,0
,0,1012,,,,,,,,,,,我,“你还没回答我呢，怎么回来了，就为了参加祭典？”,0
,0,1013,,,,,,,,,,,？？？,“爹妈喊我回来帮帮忙，海滩那边他们还要出店，二老现在身体也不算太好”,0
,0,1014,,,,,,,,,,,？？？,“虽然我早就跟他们说不用再操心这些老老实实养老就好了，但他俩闲不住，只能我回来帮帮忙。”,0
,0,1015,,,,,,,,,,,？？？,“你呢，你要怎么办？”,0
,0,1016,,,,,,,,,,,我,“什么怎么办？”,0
,0,1017,,,,,,,,,,,？？？,“摊子啊，你都在这开店了，不去开个摊子？”,0
,0,1018,,,,,,,,,,,？？？,“镇上之前没有咖啡店吧，不趁着这个时候宣传一下赚一笔？”,0
,0,1019,,,,,,,,,,,我,“哦对哦，把这事彻彻底底的忘记了。”,0
,0,1020,,,,,,,,,,,我,“好啊，店里平时没太多人来，赚不到钱我也很难办诶。”,0
,0,1021,,,,,,,,,,,我,“那我这两天去问问那边吧，多谢了。”,0
,0,1022,,,,,,,,,,,？？？,“你啊，心大。”,
,0,1023,,,,,,,,,,,？？？,“行啦，还有别的事，先走了。”,
,0,1024,,,,,,,,,,,？？？,“咖啡，很不错哦，不比大学的差。”,
,0,1025,,,,,,,,,,,我,“废话，你那时候喝的就是我做的。”,
,0,1026,,,,,,,,,,,？？？,“哈哈。拜~”,
,0,1027,,,,,,,,,,,？？？,“爱丽丝也，再见喽。”,
,0,1028,,,,,,,,,,,爱丽丝,“再见，谢谢光临。”,
,0,1029,,,,,,,,,,,我,“爬爬爬，等啥时候有空了再来。”,
,0,1030,,,,,,,,,,,爱丽丝,“店长先生，这位是？”,
,0,1031,,,,,,,,,,,我,“我的一个从小穿一条裤子长大的兄弟，甚至考了同一所大学。”,
,0,1032,,,,,,,,,,,我,“现在留在S市那边，我记得是开了家公司吧。”,
,0,1033,,,,,,,,,,,爱丽丝,“噢噢，原来如此。”,
,0,1034,,,,,,,,,,,爱丽丝,“那个潮汐节，是什么啊？”,
,0,1035,,,,,,,,,,,我,“啊，镇上的祭典，大家过的比新年都积极，也算是个老传统了。”,
,0,1036,,,,,,,,,,,我,“不过出摊啊，希望有效果吧。”,
,0,1037,,,,,,,,,,,爱丽丝,“好，好的？”,
,0,1038,,,,,,,,,,,我,“准备准备吧那就。”,
,0,1039,,,,,,,,,,,我,“最近要忙起来了哦！”,
,0,1040,,,,,,,,,,,爱丽丝,“好的！爱丽丝，会加油的！”,
