#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_ForeForest,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Afternoon,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,结束完工作后,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,嘟嘟嘟,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,咖啡馆的座机电话想起来了,0
,0,1005,0,0,0,NPC,0,0,0,0,0,4,露希尔,你好呀，店长,0
,0,1006,0,0,0,NPC,0,0,0,0,0,4,我,你好，露露姐，有什么事情吗,0
,0,1007,0,0,0,NPC,0,0,0,0,0,4,我,没什么事，就是在想着我们三个要不要出去一趟,0
,0,1008,0,0,0,NPC,0,0,0,0,0,4,露希尔,去哪个我们曾经都去过的地方，叙叙旧，大概就下午这样,0
,0,1009,0,0,0,NPC,0,0,0,0,0,4,我,那个地方?难不成你指的是...花田？,0
,0,1010,0,0,0,NPC,0,0,0,0,0,4,露希尔,对咯~,0
,0,1011,0,0,0,NPC,0,0,0,0,0,4,露希尔,贝贝她有空吗...这段时间...,0
,0,1012,0,0,0,NPC,0,0,0,0,0,4,露希尔,我问过了，贝贝不去,0
,0,1013,0,0,0,NPC,0,0,0,0,0,4,我,啊？那你说的3个人是？,0
,0,1014,0,0,0,NPC,0,0,0,0,0,4,露希尔,我、你、还有爱丽丝,0
,0,1015,0,0,0,NPC,0,0,0,0,0,4,露希尔,爱丽丝？不太好吧...毕竟是我们几个人的地方,0
,0,1016,0,0,0,NPC,0,0,0,0,0,4,露希尔,有什么不好的，了解多一点你不行吗,0
,0,1017,0,0,0,NPC,0,0,0,0,0,4,我,......行吧，你别给我整大活就行,0
,0,1018,0,0,0,NPC,0,0,0,0,0,4,露希尔,那就这样说定咯,0
