#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_03_03_morning,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,Morning,0
,0,1001,0,0,0,NPC2,0,0,0,0,0,4,塔克,早啊，店长。,0
,0,1002,0,0,0,NPC2,0,0,0,0,0,4,我,啊，塔克叔早，还是老样子对吧？,0
,0,1003,0,0,0,NPC2,0,0,0,0,0,4,塔克,哈哈，差不多。,0
,0,1004,0,0,0,NPC2,0,0,0,0,0,4,塔克,爱丽丝还在生病吗？,0
,0,1005,0,0,0,NPC2,0,0,0,0,0,4,我,啊，关于这个。,0
,0,1006,0,0,0,NPC2,0,0,0,0,0,4,我,塔克叔，我想向您请教一些事。,0
,0,1007,0,0,0,NPC2,0,0,0,0,0,4,塔克,哦？什么事？,0
,0,1008,0,0,0,NPC2,0,0,0,0,0,4,我,您平时当遇到女儿情绪低落的时候，会跟她说些什么呢？,0
,0,1009,0,0,0,NPC2,0,0,0,0,0,4,塔克,我嘛······大概会陪她聊聊天吧，如果事情是因我而起，那应该也会道歉。,0
,0,1010,0,0,0,NPC2,0,0,0,0,0,4,塔克,以及，用她最喜欢的事物去吸引她吧。,0
,0,1011,0,0,0,NPC2,0,0,0,0,0,4,塔克,我家孩子一直喜欢画画，每次她生气的时候，我都会用画笔啊之类的去哄她。,0
,0,1012,0,0,0,NPC2,0,0,0,0,0,4,塔克,画着画着，聊着聊着，心情一般也就能好起来了。,0
,0,1013,0,0,0,NPC2,0,0,0,0,0,4,塔克,希望能帮到你和爱丽丝呢。,0
,0,1014,0,0,0,NPC2,0,0,0,0,0,4,我,嗯，帮大忙了，多谢塔克叔了。,0
,0,1015,0,0,0,NPC2,0,0,0,0,0,4,我,果然还是没瞒过您。,0
,0,1016,0,0,0,NPC2,0,0,0,0,0,4,塔克,哈哈哈，加油吧，年轻人！,0
,0,1017,0,0,0,NPC2,0,0,0,0,0,4,塔克,那我走了，今天还要上班。,0
,0,1018,0,0,0,NPC2,0,0,0,0,0,4,我,嗯，塔克叔再见。,0
,0,1019,0,0,0,0,0,0,0,0,0,4,,塔克叔离开之后，我走上楼，敲了敲爱丽丝的房门。,0
,0,1020,0,0,0,dog,1,0,0,0,0,4,我,爱丽丝？我下午要出去一趟哦。有什么事可以下来找贝贝，我把她拖来看店了。,0
,0,1021,0,0,0,dog,0,0,0,0,0,4,,房间里传来“嗯”的声音。,0
,0,1022,0,0,0,dog,0,0,0,0,0,4,,既然已经得到了回应，我便回房间准备出门。,0
,0,1023,0,0,0,dog,0,0,0,0,0,4,我,爱丽丝和店就拜托了。,0
,0,1024,0,0,0,dog,1,1,0,0,0,4,贝贝,放心好了，有我在没问题的，反正店里也是歇业，又不用我去做咖啡。,0
,0,1025,0,0,0,dog,0,0,0,0,0,4,我,好好好，那我走了噢。,0
,0,1026,0,0,0,dog,1,2,0,0,0,4,贝贝,嗯，拜拜。,0
