#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_03_03_clothing,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,clothing,0
,0,1001,0,0,0,0,0,0,0,0,0,4,,我如约来到学姐的店内。,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,由于是提前到的，就在门口稍微站了一会，没过几分钟，科恩就来了。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,我,“科恩先生，感谢你抽空过来。”,0
,0,1004,0,0,0,Charother1,1,0,0,0,0,4,科恩,“不不不，我才是应该谢谢店长，爱丽丝······她还好吗？”,0
,0,1005,0,0,0,Charother1,1,0,0,0,0,4,我,“情绪还是很低沉，您知道原因的。”,0
,0,1006,0,0,0,Charother1,1,0,0,0,0,4,科恩,“我很抱歉······都是因为我才导致的。我太希望那孩子可以原谅我了。”,0
,0,1007,0,0,0,Charother1,1,0,0,0,0,4,我,“我理解您的心情，但就我从爱丽丝口中听到的故事而言，我无法完全相信您。”,0
,0,1008,0,0,0,Charother1,1,0,0,0,0,4,我,“她在最需要亲人的时候，是您自暴自弃，对她冷眼相待。所以她变成了现在的样子。”,0
,0,1009,0,0,0,Charother1,1,0,0,0,0,4,我,“······抱歉，我有点······失言了。”,0
,0,1010,0,0,0,Charother1,1,0,0,0,0,4,科恩,“不，你是对的。你不信我也是正常的，毕竟我直到上个月都还是那个窝囊样子。”,0
,0,1011,0,0,0,Charother1,1,0,0,0,0,4,科恩,“忏悔是最无用的补救啊······”,0
,0,1012,0,0,0,Charother1,1,0,0,0,0,4,我,“现在也不算晚哦？”,0
,0,1013,0,0,0,Charother1,1,0,0,0,0,4,我,“我们都很担心爱丽丝，都希望她能恢复到之前开开心心的样子。”,0
,0,1014,0,0,0,Charother1,1,0,0,0,0,4,我,“科恩先生，请您告诉我她喜欢的东西。”,0
,0,1015,0,0,0,Charother1,1,0,0,0,0,4,科恩,“喜欢的东西吗······”,0
,0,1016,0,0,0,Charother1,1,0,0,0,0,4,科恩,“爱丽丝，之前很爱拉小提琴。妻子曾经是音乐老师，在爱丽丝小时候她经常会教这些乐器。 ”,0
,0,1017,0,0,0,Charother1,1,0,0,0,0,4,我,“小提琴吗······我会记住的。”,0
,0,1018,0,0,0,Charother1,1,0,0,0,0,4,科恩,“嗯，但凡是能帮到那孩子的，尽管和我说。”,0
,0,1019,0,0,0,Charother1,1,0,0,0,0,4,科恩,“我想尽我所能补偿这些年发生的一切······”,0
,0,1020,0,0,0,Charother1,1,0,0,0,0,4,我,“您放心，这件事，我们也会尽我们的全力的。”,0
,0,1021,0,0,0,Charother1,1,0,0,0,0,4,我,“不过······小提琴嘛······镇上真的能找到吗？”,0
,0,1022,0,0,0,Charother1,1,0,0,0,0,4,科恩,“之前的应该还放在家里，我最近给你们拿过去吧。”,0
,0,1023,0,0,0,Charother1,1,0,0,0,0,4,我,“帮大忙了。”,0
,0,1024,0,0,0,0,0,0,0,0,0,4,,我们又唠了一阵，时间不长，科恩有事便先回去了。,0
,0,1025,0,0,0,0,0,0,0,0,0,4,我,“学姐，我突然想到了个点子。但是要你帮我点小忙。”,0
,0,1026,0,0,0,NPC,0,0,0,0,0,4,露希尔,“什么点子？要我做什么？”,0
,0,1027,0,0,0,NPC,0,0,0,0,0,4,我,“嘿嘿，借我一套衣服啦，给爱丽丝穿的。”,0
,0,1028,0,0,0,NPC,0,0,0,0,0,4,露希尔,“唉，行啊，你说吧。”,0
