#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_02_03_forework,,,,,,,,,,,
,4,1000,0,0,0,0,0,0,0,0,0,0,0,BGM/afternoon_bgm,0
,2,1001,0,0,0,0,0,0,0,0,0,0,0,Morning,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,过了几天，店里人开始逐渐多了起来。,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,贝贝和学姐她俩偶尔会来喝上一杯，陪着爱丽丝聊聊天，教她一些穿着打扮。,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,塔克大叔的话，每天早上都能看见他的身影，爽朗的笑容在早上的咖啡馆里回荡，快成这里的镇店之宝了。,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,爱丽丝从那天回去之后也显得没有那么胆怯了，逐渐能独自处理一些情况。,0
,0,1006,0,0,0,0,0,0,0,0,0,4,我,嘛，总之真是一片祥和啊。,0
,0,1007,0,0,0,0,0,0,0,0,0,4,,叮铃~,0
,0,1008,0,0,0,Cat,1,1,0,0,0,4,爱丽丝,您好，欢迎光临！,0
,0,1009,0,0,0,Charother1,0,0,0,0,0,4,我,啊，欢迎光······,0
,0,1010,0,0,0,Charother1,0,0,0,0,0,4,我,你咋来了？,0
,0,1011,0,0,0,Charother1,0,0,0,0,0,4,？？？,早啊，前天刚回来，听说你在这开店，今天出门顺带来看看你。,0
,0,1012,Charother1,0,0,0,0,0,Cat,0,0,4,？？？,这位是？你没说过你有妹妹啊。,0
,0,1013,Charother1,0,0,0,0,0,Cat,0,0,4,我,她是爱丽丝，我爸亲戚家的孩子，暂时住我这，平时来帮忙的。,0
,0,1014,Charother1,0,0,0,0,1,Cat,0,0,4,爱丽丝,您好，先生。,0
,0,1015,Charother1,0,0,0,0,0,Cat,0,0,4,,爱丽丝对人仍然十分恭敬，对他行了一礼。,0
,0,1016,Charother1,0,0,0,0,0,Cat,0,0,4,我,点单？,0
,0,1017,Charother1,0,0,0,0,0,Cat,0,0,4,？？？,嗯。,0
,0,1018,Charother1,0,0,0,0,0,Cat,0,0,4,我,还是经典套餐是吧，我这可没有传奇甜品。,0
,0,1019,Charother1,0,0,0,0,0,Cat,0,0,4,？？？,那就只来杯冰美式，老样子，去冰。,0
,0,1020,Charother1,0,0,0,0,0,Cat,0,0,4,我,热的？,0
,0,1021,Charother1,0,0,0,0,0,Cat,0,0,4,？？？,啊？,0
,0,1022,Charother1,0,0,0,0,0,Cat,0,0,4,我,等着去。,0
