,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
#,,,,,,,,,,,,,,,
,0,1001,cat,0,0,,0,0,dog,0,0,0,,日期已到，房东按时来到了咖啡馆中。,0
,0,1002,cat,0,0,,0,0,dog,0,0,1,房东,“你好，按约定，今天是还款的日子。”,0
,0,1003,cat,0,0,,0,0,dog,0,0,2,,你拿出准备好的现金交给了他。,0
,3,1008,,,,,,,,,,,,测试效果,0
,3,1009,,,,,,,,,,,,测试效果2,0
,0,1004,,0,0,cat,0,0,,0,0,1,房东,“那么，这就是最后一笔款项了”,0
,0,1010,,0,0,cat,0,0,,0,0,1,房东,“那么，这就是最后一笔款项了”,0
,0,1011,,0,0,cat,0,0,,0,0,1,房东,“那么，这就是最后一笔款项了”,0
,0,1005,,0,0,cat,0,0,,0,0,1,房东,“接下来就希望你每个月能够按期还款了”,0
,0,1006,,0,0,cat,0,0,,0,0,1,房东,“对了，我也听说了你们明天要办沙龙”,0
,0,1007,,0,0,cat,0,0,,0,0,1,房东,“祝你成功！”,2001-2002
,1,2001,,0,0,cat,0,0,,0,0,1,,谢谢,3001
,1,2002,,0,0,cat,0,0,,0,0,1,,是的,4001
,0,3001,,0,0,cat,0,0,,0,0,1,,谢谢,0
,0,3002,cat,0,0,,0,0,dog,0,0,0,,谢谢,5001
,0,4001,cat,0,0,,0,0,dog,0,0,2,,是的,0
,0,4002,cat,0,0,,0,0,dog,0,0,0,,是的,5001
,0,5001,cat,0,0,,0,0,dog,0,0,2,,原来如此,0
,2,6001,,0,0,,0,0,,1,5,0,,coffee,0
,0,7001,cat,0,0,,0,0,dog,0,0,0,,原来如此,0
